statement,Sentiment,Confidence
I had a fantastic time at the party.,POSITIVE,0.9998743534088135
This is the worst movie I've ever seen.,NEGATIVE,0.9997653365135193
I'm so proud of my achievements today.,POSITIVE,0.9998613595962524
I can't stand waiting in long lines.,NEGATIVE,0.9970249533653259
The food was absolutely delicious.,POSITIVE,0.9998795986175537
The traffic this morning was unbearable.,NEGATIVE,0.9961208701133728
I'm feeling more energetic and happy than ever.,POSITIVE,0.9998891353607178
That meeting was a complete waste of time.,NEGATIVE,0.9998056292533875
The staff was incredibly helpful and friendly.,POSITIVE,0.9998592138290405
I'm so frustrated with how slow this process is.,NEGATIVE,0.9998013377189636
I love spending time with my family.,POSITIVE,0.9997549653053284
This weather is just awful.,NEGATIVE,0.9997491240501404
I'm really looking forward to the weekend.,POSITIVE,0.9997417330741882
I feel so disappointed by the service I received.,NEGATIVE,0.9997606873512268
Today has been such a productive day!,POSITIVE,0.9996591806411743
I regret going to that event.,NEGATIVE,0.9842708706855774
I'm very satisfied with the results.,POSITIVE,0.999736487865448
This is the most frustrating experience I've had in a while.,NEGATIVE,0.9984550476074219
I couldn't be happier with how things turned out.,NEGATIVE,0.9773752093315125
I'm extremely upset with the way I was treated.,NEGATIVE,0.9983056783676147
